"","score","text"
"107",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"108",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"109",0,"RT @ProPublicaIL: ‚ÄúThe more often conservatives tell the story, the more they can hope it‚Äôs accepted by the mainstream. Ives is the most re‚Ä¶"
"110",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"111",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"112",0,"‚ÄúThe more often conservatives tell the story, the more they can hope it‚Äôs accepted by the mainstream. Ives is the m‚Ä¶ https://t.co/R7ABf3UC0Y"
"113",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"114",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"115",0,"Vote for Jeanne Ives over Rauner.

Rauner has no chance, and Ives has some chance. https://t.co/0Ny214Bfz7"
"116",-1,"RT @ourmaninchicago: Jeanne Ives: Immigrants are illegally applying for voting rights!

Also Jeanne Ives: Join me at the South Side Irish P‚Ä¶"
"117",0,"@ourmaninchicago Jeanne Ives, the candidate who wants to mandate that this person use the lady's room, because he w‚Ä¶ https://t.co/9PzanQpVsv"
"118",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"119",-1,"RT @ourmaninchicago: Jeanne Ives: Immigrants are illegally applying for voting rights!

Also Jeanne Ives: Join me at the South Side Irish P‚Ä¶"
"120",-3,"Fact Check: Rauner‚Äôs Head-spinning Claim That Arch Conservative Opponent Jeanne Ives Is A Mike Madigan Lackey‚Ä¶ https://t.co/Hn9EZpSZma"
"121",0,"RT @wascally0wabbit: @S_Cooper0404 #MAGA illinois Jeanne ives for governor"
"122",1,"Illinois March 20th election. If you want a better iL, ask for the Republican ballot and check the second name for‚Ä¶ https://t.co/cEEriSk3Ez"
"123",-1,"RT @ourmaninchicago: Jeanne Ives: Immigrants are illegally applying for voting rights!

Also Jeanne Ives: Join me at the South Side Irish P‚Ä¶"
"124",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
